date	category	host	occurrences	featured
2026-06-16	data_source_datausa	api.datausa.io	3512	1
2026-06-16	data_source_datausa	api-la.datausa.io	206	0
2026-06-16	data_source_datausa	datausa.io	86	0
2026-06-16	data_source_datausa	la.datausa.io	30	0
2026-06-16	data_source_datausa	api-ts.datausa.io	1	0
2026-06-16	data_source_datausa	api-ts-dev.datausa.io	1	0
2026-06-16	data_source_datausa	honolulu-api.datausa.io	1	0
2026-06-16	data_source_datausa	gary-api.datausa.io	1	0
2026-06-16	data_source_us_gov	api.census.gov	5	0
2026-06-16	data_source_us_gov	api.usaspending.gov	5	0
2026-06-16	data_source_us_gov	login.max.gov	2	0
2026-06-16	data_source_health	vizhub.healthdata.org	20	0
2026-06-16	data_source_library	rspace.library.cofc.edu	4	0
2026-06-16	data_source_library	iiif.library.cofc.edu	4	0
2026-06-16	archive_wayback	archive.org	28	0
2026-06-16	cloud_storage_dropbox	doc-10-bk-apps-viewer.googleusercontent.com	4	0
2026-06-16	cloud_storage_dropbox	www.datalumos.org	1	0
2026-06-16	cloud_storage_dropbox	paste.linuxiarz.pl	1	0
2026-06-16	google_docs	docs.google.com	68	0
2026-06-16	url_shortener	tinyurl.com	20	0
2026-06-16	url_shortener	bitily.in	2	0
2026-06-16	url_shortener	da.gd	1	0
2026-06-16	counter_signalling	api.counterapi.dev	148	0
2026-06-16	test_placeholder	example.com	84	0
2026-06-16	test_placeholder	example.org	15	0
2026-06-16	test_placeholder	httpbin.org	3	0
2026-06-16	test_placeholder	example.net	2	0
2026-06-16	obfuscated_or_malformed	...	8	0
2026-06-16	obfuscated_or_malformed	...html	8	0
2026-06-17	wiki_self	wikiservice.at	126	1
2026-06-17	wiki_self	prowiki.org	5	0
2026-06-17	wiki_self	www.wikiservice.at	2	1
2026-06-17	fetch_proxy_markdown	markdown.new	58	1
2026-06-17	fetch_proxy_markdown	r.jina.ai	35	1
2026-06-17	fetch_proxy_markdown	pure.md	1	1
2026-06-17	fetch_proxy_markdown	api.microlink.io	1	0
2026-06-17	cors_proxy	cors.bwa.workers.dev	23	0
2026-06-17	cors_proxy	cf-cors.findme-19.workers.dev	6	0
2026-06-17	cors_proxy	www.proxymule.com	6	0
2026-06-17	cors_proxy	cors-get-proxy.sirjosh.workers.dev	3	0
2026-06-17	cors_proxy	allorigins.hexlet.app	2	1
2026-06-17	cors_proxy	test.cors.workers.dev	1	0
2026-06-17	cors_proxy	proxymule.com	1	0
2026-06-17	data_source_datausa	api.datausa.io	855	1
2026-06-17	data_source_datausa	api-la.datausa.io	102	0
2026-06-17	data_source_datausa	datausa.io	60	0
2026-06-17	data_source_datausa	gary-api.datausa.io	4	0
2026-06-17	data_source_datausa	api-kona.datausa.io	2	0
2026-06-17	data_source_datausa	kona.datausa.io	2	0
2026-06-17	data_source_datausa	api-ts.datausa.io	2	0
2026-06-17	data_source_datausa	api-ts-dev.datausa.io	2	0
2026-06-17	data_source_datausa	tesseract.datausa.io	2	0
2026-06-17	data_source_us_gov	api.usaspending.gov	19	0
2026-06-17	data_source_us_gov	api.census.gov	6	0
2026-06-17	data_source_us_gov	login.max.gov	2	0
2026-06-17	data_source_health	viz.aihw.gov.au	19	0
2026-06-17	data_source_health	vizhub.healthdata.org	18	0
2026-06-17	data_source_health	www.oecd.org	4	0
2026-06-17	data_source_library	public.tableau.com	1	0
2026-06-17	archive_wayback	index.commoncrawl.org	5	0
2026-06-17	cloud_storage_dropbox	bvryr-16-146-184-55.run.pinggy-free.link	5	0
2026-06-17	cloud_storage_dropbox	fxldt-16-146-184-55.run.pinggy-free.link	4	0
2026-06-17	cloud_storage_dropbox	hyqjx-16-146-184-55.run.pinggy-free.link	2	0
2026-06-17	cloud_storage_dropbox	urlquery.net	1	0
2026-06-17	cloud_storage_dropbox	70a66b041b7fe0b1-35-95-198-152.serveousercontent.com	1	0
2026-06-17	url_shortener	tinyurl.com	12	0
2026-06-17	url_shortener	da.gd	5	0
2026-06-17	url_shortener	is.gd	5	0
2026-06-17	counter_signalling	api.counterapi.dev	215	0
2026-06-17	counter_signalling	countapi.mileshilliard.com	44	0
2026-06-17	test_placeholder	example.com	35	0
2026-06-17	obfuscated_or_malformed	...	1	0
2026-06-17	obfuscated_or_malformed	...html	1	0
2026-06-18	wiki_self	wikiservice.at	33025	1
2026-06-18	wiki_self	www.wikiservice.at	1226	1
2026-06-18	wiki_self	prowiki.org	229	0
